science_release,input_catalogue_release,physical_object_id,object_class,mass_comparability_group_default,mass_comparability_group_alternate,default_measurement_id,alternate_measurement_id,default_source_key,alternate_source_key,default_log_mbh,alternate_log_mbh,delta_log_mbh_alternate_minus_default,default_required_fedd_seed1e2,alternate_required_fedd_seed1e2,delta_required_fedd_alternate_minus_default,comparison_is_within_same_mass_group,default_release_preference_changed_flag
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-CEERS-1244,broad_line_agn,virial_balmer_single_epoch,virial_balmer_single_epoch,CEERS1244_taylor24,CEERS01244_harikane23,taylor24_ceers_rubies_blagn,harikane23_nirspec_blagn,7.82,7.50514998,-0.3148500200000006,0.5390234084690856,0.5098633516070649,-0.029160056862020722,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-CEERS-2782,broad_line_agn,virial_balmer_single_epoch,virial_balmer_single_epoch,RUBIESEGS50052_taylor24,CEERS02782_harikane23,taylor24_ceers_rubies_blagn,harikane23_nirspec_blagn,7.58,7.62324929,0.04324929000000033,0.6388921781959334,0.6440137503139133,0.005121572117979922,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-CEERS-2782,broad_line_agn,virial_balmer_single_epoch,virial_balmer_single_epoch,RUBIESEGS50052_taylor24,CEERS2782_taylor24,taylor24_ceers_rubies_blagn,taylor24_ceers_rubies_blagn,7.58,7.16,-0.41999999999999993,0.6388921781959334,0.5908035196220459,-0.048088658573887444,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-CEERS-397,broad_line_agn,virial_balmer_single_epoch,virial_balmer_single_epoch,CEERS397_taylor24,CEERS00397_harikane23,taylor24_ceers_rubies_blagn,harikane23_nirspec_blagn,7.6,7.0,-0.5999999999999996,0.7759667460501792,0.6928274518305172,-0.08313929421966204,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-CEERS-672,broad_line_agn,virial_balmer_single_epoch,virial_balmer_single_epoch,CEERS672_taylor24,CEERS00672_harikane23,taylor24_ceers_rubies_blagn,harikane23_nirspec_blagn,6.75,7.69897,0.9489700000000001,0.6065964089731533,0.727784155125417,0.1211877461522638,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-CEERS-746,broad_line_agn,virial_balmer_single_epoch,virial_balmer_single_epoch,CEERS746_taylor24,CEERS00746_harikane23,taylor24_ceers_rubies_blagn,harikane23_nirspec_blagn,7.29,7.76342799,0.47342799000000024,0.668332393394149,0.728327294594954,0.059994901200805084,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-GS-204851,broad_line_agn,virial_balmer_single_epoch,virial_balmer_single_epoch,GS204851_juodzbalis25,GOODSS13971_matthee23,juodzbalis25_jades_blagn,matthee23_eiger_fresco_blagn,7.68,7.49,-0.1899999999999995,0.6921076590789973,0.6691269654110863,-0.022980693667911,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J007-04,luminous_quasar_comparison,virial_uv_single_epoch,virial_uv_single_epoch,XQR30-PSO-J007-04_mazzucchelli23,GNIRS50-J0028-0457_shen19,xqr30_mazzucchelli23,shen19_gnirs50,9.89,9.6169,-0.27310000000000123,1.0936746277290756,1.0453630209208855,-0.04831160680819013,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J060-24,luminous_quasar_comparison,virial_uv_single_epoch,virial_uv_single_epoch,XQR30-PSO-J060-24_mazzucchelli23,GNIRS50-P060-24_shen19,xqr30_mazzucchelli23,shen19_gnirs50,9.18,9.4281,0.24810000000000088,1.0382810313804367,1.0725881639406598,0.03430713256022311,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J0836-0054,luminous_quasar_comparison,virial_uv_single_epoch,virial_uv_single_epoch,XQR30-SDSS-J0836-0054_mazzucchelli23,GNIRS50-J0836-0054_shen19,xqr30_mazzucchelli23,shen19_gnirs50,9.59,9.9203,0.33029999999999937,0.9953139794521272,1.0543524041029393,0.059038424650812105,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J0842-1218,luminous_quasar_comparison,virial_uv_single_epoch,virial_uv_single_epoch,XQR30-SDSS-J0842-1218_mazzucchelli23,GNIRS50-J0842-1218_shen19,xqr30_mazzucchelli23,shen19_gnirs50,9.3,9.5493,0.24929999999999986,1.029884850265535,1.0635011132482644,0.03361626298272946,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J0927-2001,luminous_quasar_comparison,virial_uv_single_epoch,virial_uv_single_epoch,XQR30-SDSS-J0927-2001_mazzucchelli23,GNIRS50-J0927-2001_shen19,xqr30_mazzucchelli23,shen19_gnirs50,9.11,9.6875,0.5775000000000006,0.9321856534592414,1.007333119588489,0.0751474661292475,True,False
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J2310-1855,luminous_quasar_comparison,virial_uv_single_epoch,virial_uv_single_epoch,XQR30-SDSS-J2310-1855_mazzucchelli23,GNIRS50-J2310-1855_shen19,xqr30_mazzucchelli23,shen19_gnirs50,9.67,9.8561,0.1860999999999997,1.0635867587616736,1.0774883014059002,0.013901542644226605,True,False
