science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,survey,field,object_class,mass_comparability_group,evidence_status,evidence_status_basis,primary_growth_ranking_flag,redshift,mbh_method,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,log_mbh_systematic_dex,mbh_systematic_kind,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,systematic_combined_with_statistical_error,required_fedd_seed1e2_p5,required_fedd_seed1e2_p16,required_fedd_seed1e2_p50,required_fedd_seed1e2_p84,required_fedd_seed1e2_p95,prob_required_fedd_seed1e2_gt_1,required_log_mseed_fedd0p3_p5,required_log_mseed_fedd0p3_p16,required_log_mseed_fedd0p3_p50,required_log_mseed_fedd0p3_p84,required_log_mseed_fedd0p3_p95,prob_required_log_mseed_fedd0p3_gt_1e5,prob_required_log_mseed_fedd0p3_gt_1e6,uncertainty_pressure_score_0_100,uncertainty_pressure_tier,required_fedd_seed1e2,rank_uncertainty_global_navigation,rank_uncertainty_within_object_class,rank_uncertainty_within_mass_group,rank_uncertainty_within_class_mass_group,rank_uncertainty_primary_within_class_mass_group
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,GNIRS50-J1148-5251_shen19,GNIRS50-J1148-5251_shen19,HZA-GNIRS50-J1148-5251,J1148+5251,shen19_gnirs50,Gemini-GNIRS LLP-7,all_sky_optically_selected_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_gnirs_type1_quasar_spectrum,True,6.42201,single-epoch-virial-mgii-shen2011,9.9412,0.0189,0.0189,0.4,source_stated_single_epoch_virial_systematic,10000,20260808,True,split_normal_in_log_mbh,0.0189,0.0189,symmetric_reported,False,1.2098845540983514,1.2117417199492233,1.214563744810425,1.2173978720754095,1.219284884178145,1.0,7.94916454733789,7.961307390282927,7.979758841272338,7.998289422291157,8.010627411161751,1.0,1.0,100.0,likely_high_pressure,1.214563744810425,1,1,1,1,1
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,XQR30-SDSS-J0100-2802_mazzucchelli23,XQR30-SDSS-J0100-2802_mazzucchelli23,HZA-XQR30-SDSS-J0100-2802,SDSS J0100+2802,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.3268,single-epoch-virial-mgii-vestergaard-osmer2009,10.1,0.2,0.1,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.2,0.1,asymmetric,False,1.1872766704203035,1.1972253213408186,1.2118160405313168,1.2417429443155015,1.2617278918872328,1.0,7.929628027213945,7.996114390822842,8.093623477146732,8.293623559829367,8.427182019320481,1.0,1.0,100.0,likely_high_pressure,1.2118160405313168,2,2,2,2,2
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,XQR30-PSO-J231-20_mazzucchelli23,XQR30-PSO-J231-20_mazzucchelli23,HZA-XQR30-PSO-J231-20,PSO J231-20,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.5869,single-epoch-virial-mgii-vestergaard-osmer2009,9.52,0.04,0.04,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.04,0.04,symmetric_reported,False,1.1833586434689785,1.187523941393274,1.1937618817746523,1.2000647145158279,1.2042778507374126,1.0,7.56394801828491,7.590183682930066,7.62947415263878,7.669173355221015,7.695710335533785,1.0,1.0,100.0,likely_high_pressure,1.1937618817746523,3,3,3,3,3
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,XQR30-DELS-J0923-0402_mazzucchelli23,XQR30-DELS-J0923-0402_mazzucchelli23,HZA-XQR30-DELS-J0923-0402,DELS J0923+0402,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.633,single-epoch-virial-mgii-vestergaard-osmer2009,9.42,0.16,0.24,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.16,0.24,asymmetric,False,1.1266200623070062,1.1521444930550935,1.1899991058127029,1.215702271065911,1.232026528703053,1.0,7.153069561380095,7.312186395288577,7.548168391920324,7.708399439455968,7.810163283545731,1.0,1.0,100.0,likely_high_pressure,1.1899991058127029,4,4,4,4,4
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,XQR30-DELS-J1535-1943_mazzucchelli23,XQR30-DELS-J1535-1943_mazzucchelli23,HZA-XQR30-DELS-J1535-1943,DELS J1535+1943,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.37,single-epoch-virial-mgii-vestergaard-osmer2009,9.8,0.06,0.07,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.06,0.07,asymmetric,False,1.1616369848476336,1.1683109596371777,1.178789464789416,1.1876445183935054,1.193388094899749,1.0,7.701258158975901,7.745418349277405,7.814752261404719,7.873344159728828,7.911348113822924,1.0,1.0,100.0,likely_high_pressure,1.178789464789416,5,5,5,5,5
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,XQR30-PSO-J036-03_mazzucchelli23,XQR30-PSO-J036-03_mazzucchelli23,HZA-XQR30-PSO-J036-03,PSO J036+03,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.5405,single-epoch-virial-mgii-vestergaard-osmer2009,9.43,0.08,0.07,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.08,0.07,asymmetric,False,1.149203335007201,1.1566046315467593,1.1675749637622133,1.1799133561646142,1.1878436059079012,1.0,7.404986083311649,7.452093652424572,7.521917321868042,7.60044838324788,7.6509226191966695,1.0,1.0,100.0,likely_high_pressure,1.1675749637622133,6,6,6,6,6
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,GNIRS50-J0050-3445_shen19,GNIRS50-J0050-3445_shen19,HZA-GNIRS50-J0050-3445,J0050+3445,shen19_gnirs50,Gemini-GNIRS LLP-7,all_sky_optically_selected_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_gnirs_type1_quasar_spectrum,True,6.24598,single-epoch-virial-mgii-shen2011,9.8542,0.0727,0.0727,0.4,source_stated_single_epoch_virial_systematic,10000,20260808,True,split_normal_in_log_mbh,0.0727,0.0727,symmetric_reported,False,1.135917356499754,1.1429416994146537,1.153540790628186,1.16412392789854,1.1708719840394353,1.0,7.692100731448555,7.739932334815744,7.812105850989475,7.8841707302854935,7.930120984813385,1.0,1.0,100.0,likely_high_pressure,1.153540790628186,7,7,7,7,7
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,GNIRS50-J0203-0012_shen19,GNIRS50-J0203-0012_shen19,HZA-GNIRS50-J0203-0012,J0203+0012,shen19_gnirs50,Gemini-GNIRS LLP-7,all_sky_optically_selected_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_gnirs_type1_quasar_spectrum,False,5.77689,single-epoch-virial-civ-vestergaard-peterson2006,10.7248,0.2579,0.2579,0.4,source_stated_single_epoch_virial_systematic,10000,20260808,True,split_normal_in_log_mbh,0.2579,0.2579,symmetric_reported,False,1.090088999610867,1.112050233106746,1.1451301588223646,1.1790734045150966,1.200782180567562,1.0,8.019244628647064,8.186554940300104,8.43857232730062,8.697166864644453,8.862553844734876,1.0,1.0,100.0,likely_high_pressure,1.1451301588223646,8,8,8,8,
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,XQR30-VDES-J0224-4711_mazzucchelli23,XQR30-VDES-J0224-4711_mazzucchelli23,HZA-XQR30-VDES-J0224-4711,VDES J0224-4711,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.526,single-epoch-virial-mgii-vestergaard-osmer2009,9.19,0.06,0.08,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.06,0.08,asymmetric,False,1.1052695224105096,1.11381307795098,1.1260631936413459,1.1354899549392192,1.1419003621582653,1.0,7.142170260640977,7.19672642599644,7.274951391476134,7.335147400701693,7.376082025002018,1.0,1.0,100.0,likely_high_pressure,1.1260631936413459,9,9,9,9,8
v7.2-class-aware-science,v7.2-accreting-atlas-catalogue,measurement,XQR30-VST-ATLAS-J025-33_mazzucchelli23,XQR30-VST-ATLAS-J025-33_mazzucchelli23,HZA-XQR30-VST-ATLAS-J025-33,VST-ATLAS J025-33,xqr30_mazzucchelli23,E-XQR-30,all_sky_bright_quasar_sample,luminous_quasar_comparison,virial_uv_single_epoch,secure,published_high_snr_xshooter_type1_quasar_spectrum,True,6.3373,single-epoch-virial-mgii-vestergaard-osmer2009,9.37,0.17,0.1,0.55,mgii_single_epoch_scaling_relation_scatter,10000,20260808,True,split_normal_in_log_mbh,0.17,0.1,asymmetric,False,1.081436022888127,1.0908546258175897,1.1058954512489603,1.1311459874273635,1.1482326331856176,1.0,7.2096609088475105,7.272452648747378,7.372726500977796,7.541066233730174,7.654979117015367,1.0,1.0,100.0,likely_high_pressure,1.1058954512489603,10,10,10,10,9
